id,fuel,passengers,planesAtThatTime,priority,timeToArrive,timeWaited
AmericanAirlines2,19.0,40,13,1,4,0
AmericanAirlines2,18.0,40,13,1,3,0
AmericanAirlines2,17.0,40,12,1,2,0
AmericanAirlines2,16.0,40,13,1,1,0
AmericanAirlines2,15.0,40,13,1,0,0
EasyGet3,28.0,40,10,1,10,1
EasyGet3,27.0,40,13,1,9,1
EasyGet3,26.0,40,14,1,8,1
EasyGet3,25.0,40,11,1,7,1
EasyGet3,24.0,40,12,1,6,1
EasyGet3,23.0,40,13,1,5,1
EasyGet3,22.0,40,13,1,4,1
EasyGet3,21.0,40,12,1,3,1
EasyGet3,20.0,40,13,1,2,1
EasyGet3,19.0,40,13,1,1,1
EasyGet3,18.0,40,13,1,0,1
EasyGet3,17.0,40,15,1,0,1
QatarAirways4,16.0,40,12,0,10,2
QatarAirways4,15.0,40,13,0,9,2
QatarAirways4,14.0,40,14,0,8,2
QatarAirways4,13.0,40,11,0,7,2
QatarAirways4,12.0,40,12,0,6,2
QatarAirways4,11.0,40,13,0,5,2
QatarAirways4,10.0,40,13,0,4,2
QatarAirways4,9.0,40,12,0,3,2
QatarAirways4,8.0,40,13,0,2,2
QatarAirways4,7.0,40,13,0,1,2
QatarAirways4,6.0,40,13,0,0,2
QatarAirways4,5.0,40,15,0,0,2
QatarAirways4,4.0,40,15,0,0,2
EasyGet3,28.0,40,10,1,10,2
EasyGet3,27.0,40,13,1,9,2
EasyGet3,26.0,40,14,1,8,2
EasyGet3,25.0,40,11,1,7,2
EasyGet3,24.0,40,12,1,6,2
EasyGet3,23.0,40,13,1,5,2
EasyGet3,22.0,40,13,1,4,2
EasyGet3,21.0,40,12,1,3,2
EasyGet3,20.0,40,13,1,2,2
EasyGet3,19.0,40,13,1,1,2
EasyGet3,18.0,40,13,1,0,2
EasyGet3,17.0,40,15,1,0,2
EasyGet3,16.0,40,14,1,0,2
Emirates2,22.0,40,11,1,10,3
Emirates2,21.0,40,13,1,9,3
Emirates2,20.0,40,14,1,8,3
Emirates2,19.0,40,11,1,7,3
Emirates2,18.0,40,12,1,6,3
Emirates2,17.0,40,13,1,5,3
Emirates2,16.0,40,13,1,4,3
Emirates2,15.0,40,12,1,3,3
Emirates2,14.0,40,13,1,2,3
Emirates2,13.0,40,13,1,1,3
Emirates2,12.0,40,13,1,0,3
Emirates2,11.0,40,15,1,0,3
Emirates2,10.0,40,15,1,0,3
Emirates2,9.0,40,15,1,0,3
TAP4,32.0,40,13,0,10,1
TAP4,31.0,40,11,0,9,1
TAP4,30.0,40,12,0,8,1
TAP4,29.0,40,13,0,7,1
TAP4,28.0,40,11,0,6,1
TAP4,27.0,40,12,0,5,1
TAP4,26.0,40,13,0,4,1
TAP4,25.0,40,13,0,3,1
TAP4,24.0,40,13,0,2,1
TAP4,23.0,40,14,0,1,1
TAP4,22.0,40,14,0,0,1
TAP4,21.0,40,15,0,0,1
AirAsia3,19.0,40,9,0,10,4
AirAsia3,18.0,40,13,0,9,4
AirAsia3,17.0,40,13,0,8,4
AirAsia3,16.0,40,14,0,7,4
AirAsia3,15.0,40,11,0,6,4
AirAsia3,14.0,40,12,0,5,4
AirAsia3,13.0,40,13,0,4,4
AirAsia3,12.0,40,13,0,3,4
AirAsia3,11.0,40,12,0,2,4
AirAsia3,10.0,40,13,0,1,4
AirAsia3,9.0,40,14,0,0,4
AirAsia3,8.0,40,13,0,0,4
AirAsia3,7.0,40,15,0,0,4
AirAsia3,6.0,40,14,0,0,4
AirAsia3,5.0,40,13,0,0,4
EasyGet4,16.0,40,11,1,10,1
EasyGet4,15.0,40,13,1,9,1
EasyGet4,14.0,40,11,1,8,1
EasyGet4,13.0,40,12,1,7,1
EasyGet4,12.0,40,13,1,6,1
EasyGet4,11.0,40,13,1,5,1
EasyGet4,10.0,40,13,1,4,1
EasyGet4,9.0,40,14,1,3,1
EasyGet4,8.0,40,15,1,2,1
EasyGet4,7.0,40,15,1,1,1
EasyGet4,6.0,40,12,1,0,1
EasyGet4,5.0,40,13,1,0,1
AmericanAirlines4,25.0,40,12,1,10,1
AmericanAirlines4,24.0,40,11,1,9,1
AmericanAirlines4,23.0,40,12,1,8,1
AmericanAirlines4,22.0,40,13,1,7,1
AmericanAirlines4,21.0,40,13,1,6,1
AmericanAirlines4,20.0,40,13,1,5,1
AmericanAirlines4,19.0,40,14,1,4,1
AmericanAirlines4,18.0,40,14,1,3,1
AmericanAirlines4,17.0,40,15,1,2,1
AmericanAirlines4,16.0,40,12,1,1,1
AmericanAirlines4,15.0,40,13,1,0,1
AmericanAirlines4,14.0,40,13,1,0,1
AmericanAirlines3,31.0,40,12,1,10,1
AmericanAirlines3,30.0,40,12,1,9,1
AmericanAirlines3,29.0,40,13,1,8,1
AmericanAirlines3,28.0,40,13,1,7,1
AmericanAirlines3,27.0,40,13,1,6,1
AmericanAirlines3,26.0,40,15,1,5,1
AmericanAirlines3,25.0,40,14,1,4,1
AmericanAirlines3,24.0,40,15,1,3,1
AmericanAirlines3,23.0,40,12,1,2,1
AmericanAirlines3,22.0,40,13,1,1,1
AmericanAirlines3,21.0,40,15,1,0,1
AmericanAirlines3,20.0,40,15,1,0,1
Ryanair3,20.0,40,11,0,10,1
Ryanair3,19.0,40,12,0,9,1
Ryanair3,18.0,40,13,0,8,1
Ryanair3,17.0,40,13,0,7,1
Ryanair3,16.0,40,13,0,6,1
Ryanair3,15.0,40,15,0,5,1
Ryanair3,14.0,40,14,0,4,1
Ryanair3,13.0,40,15,0,3,1
Ryanair3,12.0,40,12,0,2,1
Ryanair3,11.0,40,13,0,1,1
Ryanair3,10.0,40,15,0,0,1
Ryanair3,9.0,40,15,0,0,1
SingapureAirlines3,32.0,40,12,0,10,1
SingapureAirlines3,31.0,40,13,0,9,1
SingapureAirlines3,30.0,40,14,0,8,1
SingapureAirlines3,29.0,40,13,0,7,1
SingapureAirlines3,28.0,40,15,0,6,1
SingapureAirlines3,27.0,40,14,0,5,1
SingapureAirlines3,26.0,40,13,0,4,1
SingapureAirlines3,25.0,40,13,0,3,1
SingapureAirlines3,24.0,40,13,0,2,1
SingapureAirlines3,23.0,40,15,0,1,1
SingapureAirlines3,22.0,40,15,0,0,1
